"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045109","GO:0045109","intermediate filament organization",18,-0.78437279921509,-2.19800381761508,1.78505817906988e-05,0.00153560762098533,0.00141960361661225,74,"tags=50%, list=3%, signal=49%","DSP/KRT10/KRT2/KRT5/KRT1/KRT71/KRT9/KRT16/KRT14"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",67,0.54215876012228,1.97840174851405,2.16264320828718e-05,0.0017222504095087,0.00159214689783949,985,"tags=61%, list=34%, signal=41%","UQCC3/SDHC/NDUFC1/COX11/NDUFB1/ATP5ME/SDHB/ATP5PO/SDHA/NDUFA2/ATP6V1A/ATP5MK/ATP5PF/NME1/NDUFB10/NDUFA7/ATP5MG/ATP5MJ/NUDT2/ATP5F1A/NDUFS6/ATP5F1B/NDUFB4/NDUFV2/NDUFA8/NME2/NDUFB9/NDUFS3/NDUFA6/ATP5F1C/ATP5MF/NDUFS4/NDUFS1/NDUFV1/NDUFB8/ATP5PD/ATP5F1D/ADK/ATP5PB/NDUFA5/NDUFA12"
"GO:0010466","GO:0010466","negative regulation of peptidase activity",41,-0.635941656191166,-2.14288838033335,2.23112357192997e-05,0.00172452727853881,0.00159425176594872,531,"tags=46%, list=18%, signal=38%","GPX1/AHSG/CST3/VTN/SERPINB9/PAK2/DDX3X/SERPINA3/PICALM/SERPIND1/SNCA/ECM1/KNG1/SERPINA1/SERPINA7/SERPINB3/SERPINA6/CSTA/LTF"
"GO:0040011","GO:0040011","locomotion",209,-0.386187842314323,-1.71765705852665,4.85348129610239e-05,0.00265728100961606,0.00245654272618516,334,"tags=25%, list=12%, signal=24%","ACTG1/MAP2K3/SCN1B/RRAS2/TNXB/VTN/APOH/STX4/SLK/BST2/PRKCQ/LAMA5/SWAP70/NCK1/LAMB1/MMRN2/LAMA2/CD99L2/ADIPOQ/CTSH/SERPIND1/PLG/SRGAP3/EMC10/S100A11/SNCA/APOA1/ECM1/GLUL/PPP3CA/CRK/TF/AGT/JUP/CTSG/CTNNA1/PAK1/AKT2/ROCK1/KRT5/SERPINB3/APOD/DEFA1B/ENG/KRT16/S100A9/S100A8/SRCIN1/PECAM1/S100A7/SRP54/COL3A1/SAA1"
"GO:0141060","GO:0141060","disruption of anatomical structure in another organism",21,-0.731930334910609,-2.11654465289296,6.14456486872911e-05,0.00319459530836705,0.0029532668315754,102,"tags=33%, list=4%, signal=32%","CTSG/DEFA1B/ARG1/CFHR1/DCD/LYZ/LTF"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",306,-0.344169392125143,-1.59465865196269,6.19955710527852e-05,0.00319459530836705,0.0029532668315754,444,"tags=23%, list=15%, signal=22%","FAU/STAT5B/STX4/FGA/SCARB2/BST2/CFH/C9/NONO/NEK7/FLOT1/F2/SERPINB9/MAOB/NCK1/DYNLT1/MPO/MMRN2/PAK2/DDX3X/RAB1A/ADIPOQ/BNIP3/TRDN/JPT2/CLU/JAGN1/TTLL12/PLG/CASP7/OTUD4/A2M/FABP4/SNCA/IGKV3-20/SIGLEC1/AP1G1/HLA-C/IGHA1/IGHG3/CRK/TF/IGHG2/TFRC/LSM14A/HPX/SRPK2/CTSG/MAPKAPK3/PAK1/CHID1/CFB/NEDD4/LRG1/JCHAIN/SERPINB3/KRT1/ATG7/DEFA1B/RAB9A/ARG1/KRT16/S100A9/CFHR1/S100A8/IGHM/S100A7/DCD/LYZ/LTF"
"GO:0141061","GO:0141061","disruption of cell in another organism",18,-0.759489096535339,-2.12827361592881,7.46173438654768e-05,0.00353221934561109,0.0032653858245896,102,"tags=39%, list=4%, signal=38%","CTSG/DEFA1B/ARG1/CFHR1/DCD/LYZ/LTF"
"GO:1902600","GO:1902600","proton transmembrane transport",51,0.546274584109518,1.90189193224972,0.000211167283266995,0.00676765390763005,0.00625640680077311,532,"tags=47%, list=19%, signal=39%","COX7A2L/ATP6V1E1/ATP5ME/NDUFA4/ATP5PO/CYC1/COX5B/COX5A/ATP6V0D1/UQCR10/UQCRH/ATP6V1A/ATP1A2/ATP1B1/UQCRC1/COX6B1/ATP5PF/ATP1A1/ATP5MG/ATP5F1A/LETM1/PPIF/COX4I1/ATP5F1B"
"GO:0051346","GO:0051346","negative regulation of hydrolase activity",65,-0.50314502558525,-1.86503404102959,0.000412398241569372,0.0111991051718987,0.0103530941026765,552,"tags=40%, list=19%, signal=33%","RASA4/APOC1/GPX1/NOS1/AHSG/APOA2/CST3/VTN/DFFA/SERPINB9/PAK2/DDX3X/SERPINA3/PICALM/SERPIND1/SNCA/ECM1/KNG1/SERPINA1/SERPINA7/ROCK1/SERPINB3/SERPINA6/APOC3/CSTA/LTF"
"GO:0018149","GO:0018149","peptide cross-linking",12,-0.800803505898556,-2.0025578249518,0.000649417262014235,0.0164203894649066,0.0151799482836676,271,"tags=67%, list=9%, signal=61%","EPB42/DSP/KRT10/KRT2/KRT1/CSTA/FLG/COL3A1"
"GO:0003009","GO:0003009","skeletal muscle contraction",25,-0.653958217795855,-1.99419419740696,0.000662314034733677,0.0164203894649066,0.0151799482836676,208,"tags=24%, list=7%, signal=22%","ATP2A1/MYH3/RCSD1/TNNT3/TNNC2/TNNI2"
"GO:0046034","GO:0046034","ATP metabolic process",81,0.470755768720437,1.76914979728342,0.000723734026910147,0.017528799859812,0.0162046263223769,813,"tags=47%, list=28%, signal=35%","UQCC3/SDHC/NDUFC1/COX11/NDUFB1/ATP5ME/SDHB/ATP5PO/NMNAT1/SDHA/NDUFA2/ATP6V1A/ATP1A2/ATP1B1/ATP5MK/ATP5PF/AK2/NDUFB10/NDUFA7/ATP5MG/ATP5MJ/NUDT2/ATP5F1A/NDUFS6/ATP5F1B/DNM1L/NDUFB4/NDUFV2/NDUFA8/NDUFB9/NDUFS3/NDUFA6/ATP5F1C/ATP5MF/NDUFS4/NDUFS1/NDUFV1/NDUFB8"
"GO:0003008","GO:0003008","system process",308,-0.308949337216748,-1.43142050302296,0.000934926604135168,0.0219373849613145,0.0202801748340599,532,"tags=25%, list=19%, signal=23%","ATP2A2/GPX1/TMEM38A/NOS1/TGFBI/GCLC/APOA2/MAP2K3/RRM2B/SCN1B/PTPN11/STAC3/SGCD/SLC27A1/C12orf57/MYOM2/FGA/SCARB2/SSPN/RYR1/SLC2A4/SETD3/MAGT1/MYLK2/TMOD1/MYH4/RBFOX1/CACNA1S/CD34/PAK2/GATM/SERPINA3/MYLK3/PICALM/ADIPOQ/SLC16A1/UBR3/TRDN/ANK2/TTN/MYL1/DSP/MYL4/ATP2A1/SNCA/APOA1/CMA1/PLN/IGKV3-20/IGHA1/PPP3CA/ATP2B2/PPP1R9B/TFRC/KNG1/AGT/KCNJ11/JUP/CPA3/FABP5/SOD3/CTSG/MYH3/MYH1/ROCK1/JCHAIN/RCSD1/CTSC/ACTC1/MYL11/TNNT3/MYH2/AZGP1/TNNC2/LCN1/TNNI2/PIP"
"GO:0051289","GO:0051289","protein homotetramerization",18,0.680000992981364,1.88227963397292,0.00159695440317396,0.0325333036553578,0.0300756488170175,469,"tags=56%, list=16%, signal=47%","ALDH1A2/CRYZ/HSD17B10/CBR4/GLS/SSBP1/ME1/SOD2/ACOT13/VASP"
"GO:0030198","GO:0030198","extracellular matrix organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1"
"GO:0043062","GO:0043062","extracellular structure organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1"
"GO:0045229","GO:0045229","external encapsulating structure organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1"
